T,breaches,hit_rate,Kupiec_LR,Kupiec_p,Christoff_LR,Christoff_p,Joint_LR,Joint_p,ES_realised,portfolio,alpha,model,hit_dev_abs,zone,rank_joint,rank_kupiec,rank_hitdev,rank_es,rank_avg
2764,64,0.0231548480463096,,2.9199350715103382e-09,,1.0,,2.230914764034253e-08,0.0511990000065937,P_A,0.01,MC-MVT(ν=6),0.0131548480463096,red,1.0,2.0,3.0,5.0,2.75
2454,32,0.0130399348003259,2.090543983277769,0.1482132868650333,46.051701859880914,1.1517342635158911e-11,48.14224584315868,3.5159652966854076e-11,0.0612183908891148,P_A,0.01,HS,0.0030399348003259004,green,3.0,1.0,1.0,6.0,2.75
2764,79,0.0285817655571635,,1.1102230246251563e-15,,1.0,,1.1546319456101628e-14,0.0481317722289127,P_A,0.01,MC-MVN,0.018581765557163503,red,4.0,5.0,5.0,3.0,4.25
2454,66,0.0268948655256723,48.38583515571554,3.500866263550506e-12,46.051701859880914,1.1517342635158911e-11,94.43753701559646,0.0,0.0493918756878494,P_A,0.01,VC,0.0168948655256723,red,5.0,4.0,4.0,4.0,4.25
2953,101,0.0342025059261767,107.22383055633225,0.0,46.051701859880914,1.1517342635158911e-11,153.27553241621317,0.0,0.0375129723022947,P_A,0.01,VC_EWMA,0.024202505926176697,red,5.0,6.0,6.0,1.0,4.5
2764,95,0.0343704775687409,,0.0,,1.0,,0.0,0.0458966014920991,P_A,0.01,Copule-t(ν=6),0.024370477568740896,red,5.0,6.0,7.0,2.0,5.0
2204,0,0.0,44.30188043778197,2.8144597763457568e-11,-0.0,1.0,44.30188043778197,2.3986612696091925e-10,,P_A,0.01,"GARCH(1,1)-t",0.01,green,2.0,3.0,2.0,,
2764,164,0.0593342981186685,,0.0285209989289615,,1.0,,0.0908861385665331,0.0387351675773483,P_A,0.05,MC-MVN,0.009334298118668496,yellow,1.0,3.0,3.0,4.0,2.75
2454,127,0.0517522412387938,0.1568986860621635,0.6920280214690964,46.051701859880914,1.1517342635158911e-11,46.20860054594308,9.245493259868454e-11,0.0408555908887938,P_A,0.05,HS,0.0017522412387937988,green,3.0,1.0,1.0,6.0,2.75
2764,176,0.0636758321273516,,0.0015201110954348,,1.0,,0.0065582020393026,0.0377344771999787,P_A,0.05,MC-MVT(ν=6),0.0136758321273516,yellow,2.0,4.0,4.0,3.0,3.25
2454,140,0.0570497147514262,2.460717540145879,0.116725448989341,46.051701859880914,1.1517342635158911e-11,48.51241940002679,2.921873853978241e-11,0.039553309373347,P_A,0.05,VC,0.007049714751426198,green,4.0,2.0,2.0,5.0,3.25
2953,223,0.075516423975618,35.24013702454454,2.914544050547363e-09,46.051701859880914,1.1517342635158911e-11,81.29183888442546,0.0,0.0318687428384423,P_A,0.05,VC_EWMA,0.025516423975618,red,5.0,5.0,5.0,2.0,4.25
2764,273,0.0987698986975398,,0.0,,1.0,,0.0,0.0314954024798627,P_A,0.05,Copule-t(ν=6),0.048769898697539796,red,5.0,6.0,7.0,1.0,4.75
2204,20,0.0090744101633393,115.96856463546068,0.0,-0.0,1.0,115.96856463546068,0.0,0.0527376299622007,P_A,0.05,"GARCH(1,1)-t",0.040925589836660704,green,5.0,6.0,6.0,7.0,6.0
2454,36,0.0146699266503667,,0.0297170409218704,,1.0,,0.0941568353243501,0.1274975217419578,P_B,0.01,MC-MVT(ν=6),0.004669926650366699,yellow,1.0,2.0,2.0,5.0,2.5
2454,44,0.0179299103504482,,0.0003820111734932,,1.0,,0.0018196798433223,0.1184285933296463,P_B,0.01,MC-MVN,0.007929910350448198,yellow,2.0,3.0,4.0,4.0,3.25
2454,32,0.0130399348003259,2.090543983277769,0.1482132868650333,46.051701859880914,1.1517342635158911e-11,48.14224584315868,3.5159652966854076e-11,0.1289209040510585,P_B,0.01,HS,0.0030399348003259004,green,5.0,1.0,1.0,6.0,3.25
2204,7,0.0031760435571687,14.126147929322784,0.000170950879327,-0.0,1.0,14.126147929322784,0.0008561422937154,0.2116525045052592,P_B,0.01,"GARCH(1,1)-t",0.0068239564428313,green,3.0,5.0,3.0,7.0,4.5
2454,60,0.0244498777506112,,1.253114945143352e-09,,1.0,,9.7845666013896e-09,0.1067519831102449,P_B,0.01,Copule-t(ν=6),0.0144498777506112,red,4.0,6.0,6.0,2.0,4.5
2454,45,0.0183374083129584,13.825016324445984,0.000200646847607,46.051701859880914,1.1517342635158911e-11,59.8767181843269,9.947598300641405e-14,0.1179365173415018,P_B,0.01,VC,0.008337408312958398,yellow,6.0,4.0,5.0,3.0,4.5
2953,84,0.0284456484930579,67.71014202213564,2.220446049250313e-16,46.051701859880914,1.1517342635158911e-11,113.76184388201656,0.0,0.1023014956071367,P_B,0.01,VC_EWMA,0.018445648493057902,red,7.0,7.0,7.0,1.0,5.5
2454,120,0.0488997555012225,0.0629796700696943,0.8018469628944491,46.051701859880914,1.1517342635158911e-11,46.11468152995061,9.690004354467874e-11,0.0847684068737196,P_B,0.05,HS,0.0011002444987775056,green,3.0,1.0,1.0,3.0,2.0
2454,114,0.0464547677261613,,0.4150050241690193,,1.0,,0.7173378758488028,0.0859825053895782,P_B,0.05,MC-MVT(ν=6),0.003545232273838704,green,1.0,2.0,2.0,4.0,2.25
2454,101,0.0411572942135289,,0.0383878978334213,,1.0,,0.1171997159187141,0.0898536486458315,P_B,0.05,MC-MVN,0.008842705786471103,green,2.0,3.0,3.0,5.0,3.25
2454,101,0.0411572942135289,4.287751651487838,0.0383878978334213,46.051701859880914,1.1517342635158911e-11,50.33945351136875,1.1719958337153004e-11,0.0898536486458315,P_B,0.05,VC,0.008842705786471103,green,5.0,3.0,3.0,5.0,4.0
2454,204,0.0831295843520782,,5.000444502911705e-12,,1.0,,4.4150905154083375e-11,0.0700310688517254,P_B,0.05,Copule-t(ν=6),0.033129584352078204,red,4.0,6.0,7.0,1.0,4.5
2953,177,0.0599390450389434,5.790154589512213,0.0161161719267984,46.051701859880914,1.1517342635158911e-11,51.84185644939313,5.529465774145592e-12,0.0793172173211722,P_B,0.05,VC_EWMA,0.009939045038943398,yellow,6.0,5.0,5.0,2.0,4.5
2204,40,0.0181488203266787,61.65436753734696,4.107825191113079e-15,-0.0,1.0,61.65436753734696,4.0967229608668276e-14,0.1146962587064156,P_B,0.05,"GARCH(1,1)-t",0.0318511796733213,green,7.0,7.0,6.0,7.0,6.75
2764,35,0.0126628075253256,,0.1766364948233643,,1.0,,0.4013790176524399,0.0674893281167112,P_C,0.01,MC-MVT(ν=6),0.0026628075253256004,green,1.0,2.0,2.0,5.0,2.5
2764,40,0.0144717800289435,,0.0267767272067872,,1.0,,0.0860716698617103,0.064929100099832,P_C,0.01,MC-MVN,0.0044717800289435,yellow,2.0,3.0,3.0,4.0,3.0
2454,29,0.0118174409127954,0.773693250523138,0.3790769351281884,46.051701859880914,1.1517342635158911e-11,46.82539511040405,6.791955886598089e-11,0.0699189024339926,P_C,0.01,HS,0.0018174409127954,green,5.0,1.0,1.0,6.0,3.25
2454,40,0.0162999185004074,8.264590775723775,0.0040425772441022,46.051701859880914,1.1517342635158911e-11,54.31629263560469,1.604605337490739e-12,0.0637542340891353,P_C,0.01,VC,0.006299918500407399,yellow,6.0,4.0,4.0,3.0,4.25
2764,63,0.0227930535455861,,6.9576043815189345e-09,,1.0,,5.193297791805662e-08,0.0561799153777245,P_C,0.01,Copule-t(ν=6),0.012793053545586101,red,4.0,6.0,6.0,2.0,4.5
2204,4,0.0018148820326678,22.57622469750862,2.019686124676845e-06,-0.0,1.0,22.57622469750862,1.2520886992550828e-05,0.1293799191032457,P_C,0.01,"GARCH(1,1)-t",0.008185117967332201,green,3.0,5.0,5.0,7.0,5.0
2953,78,0.0264138164578394,55.39122367697894,9.880984919163893e-14,46.051701859880914,1.1517342635158911e-11,101.44292553685986,0.0,0.0498493411497553,P_C,0.01,VC_EWMA,0.016413816457839403,red,7.0,7.0,7.0,1.0,5.5
2764,123,0.0445007235890014,,0.1767785115739937,,1.0,,0.4016194776010287,0.044590001017135,P_C,0.05,MC-MVT(ν=6),0.005499276410998601,green,1.0,2.0,2.0,4.0,2.25
2454,116,0.0472697636511817,0.3919356951098507,0.5312836692541264,46.051701859880914,1.1517342635158911e-11,46.443637554990765,8.220391034541308e-11,0.0438255985861579,P_C,0.05,HS,0.0027302363488183046,green,4.0,1.0,1.0,3.0,2.25
2764,209,0.0756150506512301,,8.210075508330306e-09,,1.0,,6.100237315287417e-08,0.0367336294431935,P_C,0.05,Copule-t(ν=6),0.025615050651230098,red,3.0,6.0,6.0,1.0,4.0
2454,103,0.0419722901385493,3.5132496183845205,0.0608799333198555,46.051701859880914,1.1517342635158911e-11,49.56495147826544,1.7262635765291634e-11,0.0452754380759758,P_C,0.05,VC,0.008027709861450703,green,5.0,3.0,3.0,5.0,4.0
2953,172,0.0582458516762614,4.023523087388867,0.0448698901760034,46.051701859880914,1.1517342635158911e-11,50.07522494726978,1.3375300866869113e-11,0.039250266130274,P_C,0.05,VC_EWMA,0.0082458516762614,yellow,6.0,4.0,4.0,2.0,4.0
2764,110,0.0397973950795947,,0.0108297750641531,,1.0,,0.0389094167953679,0.0462263719517936,P_C,0.05,MC-MVN,0.010202604920405305,green,2.0,5.0,5.0,6.0,4.5
2204,36,0.0163339382940108,70.44696122758523,0.0,-0.0,1.0,70.44696122758523,5.551115123125784e-16,0.0613936381198725,P_C,0.05,"GARCH(1,1)-t",0.0336660617059892,green,7.0,7.0,7.0,7.0,7.0
